MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,151.2,262.6,-42
June,ARWAL,49.2,91.8,-46
June,AURANGABAD,180.1,126.8,42
June,BANKA,112.2,139.5,-20
June,BEGUSARAI,57.4,165.6,-65
June,BHABUA,98.4,111.7,-12
June,BHAGALPUR,114.4,179.5,-36
June,BHOJPUR,39.5,116.4,-66
June,BUXAR,91.2,110.6,-18
June,DARBHANGA,69.8,145.1,-52
June,EAST CHAMPARAN,58.4,177.8,-67
June,GAYA,210.5,135.4,55
June,GOPALGANJ,67.6,142.8,-53
June,JAHANABAD,91.1,125.2,-27
June,JAMUI,176.7,147.4,20
June,KATIHAR,131.6,211.9,-38
June,KHAGARIA,62.8,184.5,-66
June,KISHANGANJ,253.7,342.6,-26
June,LAKHISARAI,136,121.7,12
June,MADHEPURA,49.4,197.5,-75
June,MADHUBANI,74.3,169.2,-56
June,MONGHYR,124,164,-24
June,MUZAFFARPUR,33.9,157,-78
June,NALANDA,126.5,119.2,6
June,NAWADA,172.3,124.3,39
June,PATNA,71.9,130.2,-45
June,PURNEA,122.3,279.7,-56
June,ROHTAS,134,115.4,16
June,SAHARSA,19.7,195.6,-90
June,SAMASTIPUR,47.8,158.4,-70
June,SARAN,43,129.7,-67
June,SHEIKHPURA,100.8,130.1,-23
June,SHEOHAR,69.4,179.1,-61
June,SITAMARHI,44.2,188.9,-77
June,SIWAN,102.9,130.8,-21
June,SUPAUL,78.7,203.4,-61
June,VAISHALI,55.8,126.1,-56
June,WEST CHAMPARAN,113.8,200.8,-43
July,ARARIA,176.2,487.1,-64
July,ARWAL,188.4,249.1,-24
July,AURANGABAD,291.7,293.5,-1
July,BANKA,301,284.7,6
July,BEGUSARAI,294.6,329.1,-10
July,BHABUA,225,286,-21
July,BHAGALPUR,250.5,310.7,-19
July,BHOJPUR,166.6,306.8,-46
July,BUXAR,172,270.6,-36
July,DARBHANGA,158.6,313.2,-49
July,EAST CHAMPARAN,69.9,364.3,-81
July,GAYA,338.6,276.6,22
July,GOPALGANJ,109.8,336.3,-67
July,JAHANABAD,157.4,284.4,-45
July,JAMUI,295.1,319.4,-8
July,KATIHAR,179.3,349.2,-49
July,KHAGARIA,289.9,309,-6
July,KISHANGANJ,205.1,597.4,-66
July,LAKHISARAI,217.3,305.3,-29
July,MADHEPURA,131.1,332.8,-61
July,MADHUBANI,95.7,353.5,-73
July,MONGHYR,235,353.9,-34
July,MUZAFFARPUR,129.1,332.2,-61
July,NALANDA,276.1,304.3,-9
July,NAWADA,318.4,281.4,13
July,PATNA,293.6,315.6,-7
July,PURNEA,151.7,476.3,-68
July,ROHTAS,237,288.8,-18
July,SAHARSA,166.6,375.3,-56
July,SAMASTIPUR,198.3,309.5,-36
July,SARAN,130.4,315.9,-59
July,SHEIKHPURA,271.7,296.6,-8
July,SHEOHAR,101.9,356.7,-71
July,SITAMARHI,72,375.5,-81
July,SIWAN,146.8,308.3,-52
July,SUPAUL,110.4,391.3,-72
July,VAISHALI,321,335.6,-4
July,WEST CHAMPARAN,105.9,438.5,-76
August,ARARIA,269.4,340.9,-21
August,ARWAL,210.3,204.5,3
August,AURANGABAD,256.4,251,2
August,BANKA,276.4,247.7,12
August,BEGUSARAI,270.3,273.8,-1
August,BHABUA,192.6,271.2,-29
August,BHAGALPUR,170.6,260.3,-34
August,BHOJPUR,237.1,258.9,-8
August,BUXAR,250.5,232,8
August,DARBHANGA,239.7,254.7,-6
August,EAST CHAMPARAN,232.1,302,-23
August,GAYA,241.5,241.6,0
August,GOPALGANJ,181,272.7,-34
August,JAHANABAD,203.9,238.2,-14
August,JAMUI,249.5,250.9,-1
August,KATIHAR,268.8,255.8,5
August,KHAGARIA,321.3,252.1,27
August,KISHANGANJ,384,451.7,-15
August,LAKHISARAI,313.4,222.7,41
August,MADHEPURA,203.6,265.9,-23
August,MADHUBANI,228.6,268.5,-15
August,MONGHYR,222.7,276.1,-19
August,MUZAFFARPUR,188.1,261.9,-28
August,NALANDA,286.9,237.7,21
August,NAWADA,223.9,242.4,-8
August,PATNA,343.8,237.8,45
August,PURNEA,286.4,346.9,-17
August,ROHTAS,210.6,248,-15
August,SAHARSA,175.5,276,-36
August,SAMASTIPUR,237.8,254.8,-7
August,SARAN,207.8,258,-19
August,SHEIKHPURA,332.7,209.6,59
August,SHEOHAR,326.4,266.9,22
August,SITAMARHI,222.7,307.3,-28
August,SIWAN,272.4,249,9
August,SUPAUL,197,262.5,-25
August,VAISHALI,300.6,244.3,23
August,WEST CHAMPARAN,262,355.8,-26
September,ARARIA,191.3,284,-33
September,ARWAL,64.8,159.8,-59
September,AURANGABAD,133.4,187.7,-29
September,BANKA,57.6,198.7,-71
September,BEGUSARAI,164.7,241,-32
September,BHABUA,90.7,221.3,-59
September,BHAGALPUR,67.8,219.7,-69
September,BHOJPUR,107.4,207.2,-48
September,BUXAR,142.2,172.2,-17
September,DARBHANGA,145.6,186.6,-22
September,EAST CHAMPARAN,126.7,211.1,-40
September,GAYA,129.5,174.7,-26
September,GOPALGANJ,138.3,216.8,-36
September,JAHANABAD,114.2,185.1,-38
September,JAMUI,89.8,218.7,-59
September,KATIHAR,81.4,262,-69
September,KHAGARIA,281.3,225.7,25
September,KISHANGANJ,315.7,354.5,-11
September,LAKHISARAI,71.9,200.6,-64
September,MADHEPURA,130.7,250.1,-48
September,MADHUBANI,181.9,180.9,1
September,MONGHYR,98,225.9,-57
September,MUZAFFARPUR,92.8,216.7,-57
September,NALANDA,103.5,191.6,-46
September,NAWADA,109.6,178.4,-39
September,PATNA,167.2,203.3,-18
September,PURNEA,128.7,308.9,-58
September,ROHTAS,103.5,190.1,-46
September,SAHARSA,134.6,236.4,-43
September,SAMASTIPUR,148.8,223,-33
September,SARAN,96.6,195.8,-51
September,SHEIKHPURA,90.5,181.7,-50
September,SHEOHAR,108.8,206,-47
September,SITAMARHI,139.2,188.6,-26
September,SIWAN,162.6,212.9,-24
September,SUPAUL,157.1,228.5,-31
September,VAISHALI,174.2,199.4,-13
September,WEST CHAMPARAN,221.2,237.1,-7
